State:Action,QValue
1,0:up,29.180584
1,1:down,28.119532
1,1:left,26.751467
1,1:right,29.100943
1,1:up,29.719816
1,10:down,33.744606
1,10:left,28.363571
1,10:right,37.616974
1,10:up,35.77625
1,100:down,27.481228
1,100:left,20.461817
1,100:right,28.823267
1,100:up,14.033327
1,101:down,15.679071
1,101:up,-0.52247685
1,102:down,0.36733934
1,102:left,-0.2968428
1,11:down,33.492252
1,11:left,35.344124
1,11:right,37.769966
1,11:up,37.671932
1,12:down,36.493828
1,12:left,36.834187
1,12:right,38.850563
1,12:up,38.223732
1,13:down,37.32008
1,13:left,37.844124
1,13:right,41.230354
1,13:up,39.631874
1,14:down,39.286655
1,14:left,38.33996
1,14:right,42.67446
1,14:up,40.58592
1,15:down,39.598846
1,15:left,40.490696
1,15:right,44.050743
1,15:up,41.397507
1,16:down,41.074055
1,16:left,40.953705
1,16:right,43.660965
1,16:up,43.089516
1,17:down,34.47676
1,17:left,41.559845
1,17:right,46.508377
1,17:up,44.678234
1,18:down,39.993095
1,18:left,35.951035
1,18:right,47.659355
1,18:up,45.54813
1,19:down,45.325714
