State:Action,QValue
-3,3:up,0.20277002
-3,30:down,-0.46444502
-3,30:left,-0.19612502
-3,30:right,-0.28520542
-3,31:left,-0.16761002
-3,31:right,-0.011312745
-3,31:up,0.57661587
-3,32:down,0.06286801
-3,32:left,-0.241147
-3,32:right,0.29474938
-3,32:up,0.246162
-3,33:down,-0.6963639
-3,33:left,-0.16761002
-3,33:right,1.5981172
-3,34:up,-0.16128546
-3,35:right,0.33404827
-3,35:up,0.23484947
-3,36:left,0.40137607
-3,36:right,3.1146815
-3,38:left,-0.19603501
-3,38:right,-0.089846775
-3,38:up,0.120283924
-3,39:right,0.8666353
-3,39:up,0.055716798
-3,4:down,0.18320447
-3,4:right,2.0868778
-3,40:down,0.18006004
-3,40:right,-0.114405625
-3,40:up,-0.1662738
-3,41:down,-0.32728076
